CAPTION,LONGITUDE,LATITUDE
Grassland north of Eastdon ,50.6094745,-3.4474219
Wall north of Hulne Park ,55.432218000000006,-1.7493925484752704
Farm track north of Aglionby ,54.9007857,-2.8613205
Long barrow north of Martin ,50.974831449999996,-1.9094767347091297
A483 north of Pool Quay ,52.6955742,-3.1022911
Power line north of Dagnets Lane ,51.8454324,0.5334484
Fields north of Ellington ,52.3329134,-0.2982294
Fields north of Belsey Bridge Road ,52.4816796,1.439813
Pasture north of Balhomish ,56.5417361,-3.6051253
The A22 north of South Godstone ,51.2198263,-0.0483924
Farm on track east of Hardwick ,51.8650625,-0.8304842
Un-named lane east of Clare ,51.6820632,-1.0228075
